LineId,Logrecord,Date,Time,Pid,Level,Component,ADDR,Content,EventId,EventTemplate,ParameterList,Message
13,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:10:30.861,2931,INFO,nova.compute.manager,req-3ea4052c-895d-4b64-9e2d-04d64c4d94ab - - - - -,"['[', 'instance', ':', ' ', '<*>', ']', ' ', 'VM', ' ', 'Resumed', ' ', '(Lifecycle', ' ', 'Event)']",16b764ff,[instance: <*>] VM Resumed (Lifecycle Event),['be793e89-2cc3-4f99-9884-9c6a624a84bc'],[instance: be793e89-2cc3-4f99-9884-9c6a624a84bc] VM Resumed (Lifecycle Event)
14,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:10:30.873,2931,INFO,nova.virt.libvirt.driver,-,"['[', 'instance', ':', ' ', '<*>', ']', ' ', 'Instance', ' ', 'spawned', ' ', 'successfully.']",796fd834,[instance: <*>] Instance spawned successfully.,['be793e89-2cc3-4f99-9884-9c6a624a84bc'],[instance: be793e89-2cc3-4f99-9884-9c6a624a84bc] Instance spawned successfully.
15,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:10:30.874,2931,INFO,nova.compute.manager,req-9118475d-6e72-48fa-9dee-e6b7d957dcd6 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"['[', 'instance', ':', ' ', '<*>', ']', ' ', 'Took', ' ', '<*>', ' ', 'seconds', ' ', 'to', ' ', 'spawn', ' ', 'the', ' ', 'instance', ' ', 'on', ' ', 'the', ' ', 'hypervisor.']",9f276c62,[instance: <*>] Took <*> seconds to spawn the instance on the hypervisor.,"['be793e89-2cc3-4f99-9884-9c6a624a84bc', '19.16']",[instance: be793e89-2cc3-4f99-9884-9c6a624a84bc] Took 19.16 seconds to spawn the instance on the hypervisor.
16,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:10:30.993,2931,INFO,nova.compute.manager,req-3ea4052c-895d-4b64-9e2d-04d64c4d94ab - - - - -,"['[', 'instance', ':', ' ', '<*>', ']', ' ', 'During', ' ', 'sync_power_state', ' ', 'the', ' ', 'instance', ' ', 'has', ' ', 'a', ' ', 'pending', ' ', 'task', ' ', '(spawning).', ' ', 'Skip.']",fe9c1237,[instance: <*>] During sync_power_state the instance has a pending task (spawning). Skip.,['be793e89-2cc3-4f99-9884-9c6a624a84bc'],[instance: be793e89-2cc3-4f99-9884-9c6a624a84bc] During sync_power_state the instance has a pending task (spawning). Skip.
17,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:10:30.994,2931,INFO,nova.compute.manager,req-3ea4052c-895d-4b64-9e2d-04d64c4d94ab - - - - -,"['[', 'instance', ':', ' ', 'be793e89-2cc3-4f99-9884-9c6a624a84bc', ']', ' ', 'VM', ' ', 'Resumed', ' ', '(Lifecycle', ' ', 'Event)']",16b764ff,[instance: <*>] VM Resumed (Lifecycle Event),['be793e89-2cc3-4f99-9884-9c6a624a84bc'],[instance: be793e89-2cc3-4f99-9884-9c6a624a84bc] VM Resumed (Lifecycle Event)
18,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:10:31.027,2931,INFO,nova.compute.manager,req-9118475d-6e72-48fa-9dee-e6b7d957dcd6 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"['[', 'instance', ':', ' ', '<*>', ']', ' ', 'Took', ' ', '<*>', ' ', 'seconds', ' ', 'to', ' ', 'build', ' ', 'instance.']",e51c49ab,[instance: <*>] Took <*> seconds to build instance.,"['be793e89-2cc3-4f99-9884-9c6a624a84bc', '19.97']",[instance: be793e89-2cc3-4f99-9884-9c6a624a84bc] Took 19.97 seconds to build instance.
19,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:10:31.358,25746,INFO,nova.osapi_compute.wsgi.server,req-15ed46bc-c234-4dd1-ba31-6132a5a21007 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"[' ', '<*>', ' ', ' ', '""', 'GET', ' ', ' ', '<*>', ' ', 'HTTP', ' ', '<*>', ' ', 'status', ':', ' ', '<*>', ' ', 'len', ':', ' ', '<*>', ' ', 'time', ':', ' ', '0.2641079']",b6a0df50,"<*> ""GET <*> HTTP <*> status: <*> len: <*> time: <*>",[],"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1910 time: 0.2641079"
20,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:10:31.639,25746,INFO,nova.osapi_compute.wsgi.server,req-95cb0030-6b56-44a8-8208-d68412f2eb43 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"[' ', '<*>', ' ', ' ', '""', 'GET', ' ', ' ', '<*>', ' ', 'HTTP', ' ', '<*>', ' ', 'status', ':', ' ', '<*>', ' ', 'len', ':', ' ', '<*>', ' ', 'time', ':', ' ', '0.2763309']",b6a0df50,"<*> ""GET <*> HTTP <*> status: <*> len: <*> time: <*>",[],"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1910 time: 0.2763309"
21,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:10:35.137,2931,INFO,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,"['image', ' ', '0673dd71-34c5-4fbb-86c4-40623fbe45b4', ' ', 'at', ' ', '(', ' ', '<*>', ' ', 'checking']",f0318639,image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at ( <*> checking,[],image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at (/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742): checking
22,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:10:35.138,2931,INFO,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,"['image', ' ', '0673dd71-34c5-4fbb-86c4-40623fbe45b4', ' ', 'at', ' ', '(', ' ', '<*>', ' ', 'in', ' ', 'use', ':', ' ', 'on', ' ', 'this', ' ', 'node', ' ', '<*>', ' ', 'local', ',', ' ', '<*>', ' ', 'on', ' ', 'other', ' ', 'nodes', ' ', 'sharing', ' ', 'this', ' ', 'instance', ' ', 'storage']",9084abc9,"image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at ( <*> in use: on this node <*> local, <*> on other nodes sharing this instance storage",[],"image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at (/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742): in use: on this node 1 local, 0 on other nodes sharing this instance storage"
23,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:10:35.319,2931,INFO,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,"['Active', ' ', 'base', ' ', 'files', ':', ' ', '/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742']",7fcec85c,Active base files: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742,[],Active base files: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742
24,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:10:37.220,25793,INFO,nova.metadata.wsgi.server,req-3169ebb5-1055-4017-a172-e8da7500e084 - - - - -,"[' ', '<*>', ' ', ' ', '""', 'GET', ' ', ' ', '<*>', ' ', 'HTTP', ' ', '<*>', ' ', 'status', ':', ' ', '<*>', ' ', 'len', ':', ' ', '<*>', ' ', 'time', ':', ' ', '0.2397351']",b6a0df50,"<*> ""GET <*> HTTP <*> status: <*> len: <*> time: <*>",[],"10.11.21.137,10.11.10.1 ""GET /openstack/2012-08-10/meta_data.json HTTP/1.1"" status: 200 len: 264 time: 0.2397351"
25,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:10:37.231,25793,INFO,nova.metadata.wsgi.server,-,"[' ', '<*>', ' ', ' ', '""', 'GET', ' ', ' ', '<*>', ' ', 'HTTP', ' ', '<*>', ' ', 'status', ':', ' ', '<*>', ' ', 'len', ':', ' ', '<*>', ' ', 'time', ':', ' ', '0.0005910']",b6a0df50,"<*> ""GET <*> HTTP <*> status: <*> len: <*> time: <*>",[],"10.11.21.137,10.11.10.1 ""GET /openstack/2013-10-17 HTTP/1.1"" status: 200 len: 157 time: 0.0005910"
26,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:10:37.239,25793,INFO,nova.metadata.wsgi.server,-,"[' ', '<*>', ' ', ' ', '""', 'GET', ' ', ' ', '<*>', ' ', 'HTTP', ' ', '<*>', ' ', 'status', ':', ' ', '<*>', ' ', 'len', ':', ' ', '<*>', ' ', 'time', ':', ' ', '0.0005460']",b6a0df50,"<*> ""GET <*> HTTP <*> status: <*> len: <*> time: <*>",[],"10.11.21.137,10.11.10.1 ""GET /openstack/2013-10-17/vendor_data.json HTTP/1.1"" status: 200 len: 124 time: 0.0005460"
27,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:10:37.568,25790,INFO,nova.metadata.wsgi.server,req-9cf301ad-363b-4559-82af-0c80f0e615bb - - - - -,"[' ', '<*>', ' ', ' ', '""', 'GET', ' ', ' ', '<*>', ' ', 'HTTP', ' ', '<*>', ' ', 'status', ':', ' ', '<*>', ' ', 'len', ':', ' ', '<*>', ' ', 'time', ':', ' ', '0.2337520']",b6a0df50,"<*> ""GET <*> HTTP <*> status: <*> len: <*> time: <*>",[],"10.11.21.137,10.11.10.1 ""GET /openstack/2013-10-17/vendor_data.json HTTP/1.1"" status: 200 len: 124 time: 0.2337520"
28,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:10:37.792,25778,INFO,nova.metadata.wsgi.server,req-24f7495b-14ca-4513-87d2-a413dd760f5c - - - - -,"[' ', '<*>', ' ', ' ', '""', 'GET', ' ', ' ', '<*>', ' ', 'HTTP', ' ', '<*>', ' ', 'status', ':', ' ', '<*>', ' ', 'len', ':', ' ', '<*>', ' ', 'time', ':', ' ', '0.2108901']",b6a0df50,"<*> ""GET <*> HTTP <*> status: <*> len: <*> time: <*>",[],"10.11.21.137,10.11.10.1 ""GET /openstack/2013-10-17/user_data HTTP/1.1"" status: 404 len: 176 time: 0.2108901"
29,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:10:37.806,25793,INFO,nova.metadata.wsgi.server,-,"[' ', '<*>', ' ', ' ', '""', 'GET', ' ', ' ', '<*>', ' ', 'HTTP', ' ', '<*>', ' ', 'status', ':', ' ', '<*>', ' ', 'len', ':', ' ', '<*>', ' ', 'time', ':', ' ', '0.0013261']",b6a0df50,"<*> ""GET <*> HTTP <*> status: <*> len: <*> time: <*>",[],"10.11.21.137,10.11.10.1 ""GET /openstack/2013-10-17/meta_data.json HTTP/1.1"" status: 200 len: 967 time: 0.0013261"
30,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:10:37.817,25793,INFO,nova.metadata.wsgi.server,-,"[' ', '<*>', ' ', ' ', '""', 'GET', ' ', ' ', '<*>', ' ', 'HTTP', ' ', '<*>', ' ', 'status', ':', ' ', '<*>', ' ', 'len', ':', ' ', '<*>', ' ', 'time', ':', ' ', '0.0008872']",b6a0df50,"<*> ""GET <*> HTTP <*> status: <*> len: <*> time: <*>",[],"10.11.21.137,10.11.10.1 ""GET /openstack/2013-10-17/meta_data.json HTTP/1.1"" status: 200 len: 967 time: 0.0008872"
31,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:10:37.898,25746,INFO,nova.osapi_compute.wsgi.server,req-d3ff0250-98e8-4ed4-945b-3a67bfe78507 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"[' ', '<*>', ' ', ' ', '""', 'DELETE', ' ', ' ', '<*>', ' ', 'HTTP', ' ', '<*>', ' ', 'status', ':', ' ', '<*>', ' ', 'len', ':', ' ', '<*>', ' ', 'time', ':', ' ', '<*>']",ca5c5e0f,"<*> ""DELETE <*> HTTP <*> status: <*> len: <*> time: <*>",[],"10.11.10.1 ""DELETE /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/be793e89-2cc3-4f99-9884-9c6a624a84bc HTTP/1.1"" status: 204 len: 203 time: 0.2519062"
32,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:10:37.936,2931,INFO,nova.compute.manager,req-d3ff0250-98e8-4ed4-945b-3a67bfe78507 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"['[', 'instance', ':', ' ', '<*>', ']', ' ', 'Terminating', ' ', 'instance']",06476222,[instance: <*>] Terminating instance,['be793e89-2cc3-4f99-9884-9c6a624a84bc'],[instance: be793e89-2cc3-4f99-9884-9c6a624a84bc] Terminating instance
33,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:10:38.056,25775,INFO,nova.metadata.wsgi.server,req-3521b636-65e4-4a20-8eab-d4cc01f20eff - - - - -,"[' ', '<*>', ' ', ' ', '""', 'GET', ' ', ' ', '<*>', ' ', 'HTTP', ' ', '<*>', ' ', 'status', ':', ' ', '<*>', ' ', 'len', ':', ' ', '<*>', ' ', 'time', ':', ' ', '0.2276061']",b6a0df50,"<*> ""GET <*> HTTP <*> status: <*> len: <*> time: <*>",[],"10.11.21.137,10.11.10.1 ""GET /latest/meta-data/ HTTP/1.1"" status: 200 len: 328 time: 0.2276061"
34,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:10:38.153,2931,INFO,nova.virt.libvirt.driver,-,"['[', 'instance', ':', ' ', '<*>', ']', ' ', 'Instance', ' ', 'destroyed', ' ', 'successfully.']",93995b30,[instance: <*>] Instance destroyed successfully.,['be793e89-2cc3-4f99-9884-9c6a624a84bc'],[instance: be793e89-2cc3-4f99-9884-9c6a624a84bc] Instance destroyed successfully.
35,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:10:38.172,25746,INFO,nova.osapi_compute.wsgi.server,req-0ed561a5-fdf2-4b23-ab40-0f283f3da54e 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"[' ', '<*>', ' ', ' ', '""', 'GET', ' ', ' ', '<*>', ' ', 'HTTP', ' ', '<*>', ' ', 'status', ':', ' ', '<*>', ' ', 'len', ':', ' ', '<*>', ' ', 'time', ':', ' ', '0.2693460']",b6a0df50,"<*> ""GET <*> HTTP <*> status: <*> len: <*> time: <*>",[],"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1916 time: 0.2693460"
36,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:10:38.835,2931,INFO,nova.virt.libvirt.driver,req-d3ff0250-98e8-4ed4-945b-3a67bfe78507 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"['[', 'instance', ':', ' ', '<*>', ']', ' ', 'Deleting', ' ', 'instance', ' ', 'files', ' ', '<*>']",27286d97,[instance: <*>] Deleting instance files <*>,"['be793e89-2cc3-4f99-9884-9c6a624a84bc', '/var/lib/nova/instances/be793e89-2cc3-4f99-9884-9c6a624a84bc_del']",[instance: be793e89-2cc3-4f99-9884-9c6a624a84bc] Deleting instance files /var/lib/nova/instances/be793e89-2cc3-4f99-9884-9c6a624a84bc_del
37,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:10:38.836,2931,INFO,nova.virt.libvirt.driver,req-d3ff0250-98e8-4ed4-945b-3a67bfe78507 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"['[', 'instance', ':', ' ', '<*>', ']', ' ', 'Deletion', ' ', 'of', ' ', ' ', '<*>', ' ', 'complete']",822b21a7,[instance: <*>] Deletion of <*> complete,"['be793e89-2cc3-4f99-9884-9c6a624a84bc', '/var/lib/nova/instances/be793e89-2cc3-4f99-9884-9c6a624a84bc_del']",[instance: be793e89-2cc3-4f99-9884-9c6a624a84bc] Deletion of /var/lib/nova/instances/be793e89-2cc3-4f99-9884-9c6a624a84bc_del complete
38,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:10:38.954,2931,INFO,nova.compute.manager,req-d3ff0250-98e8-4ed4-945b-3a67bfe78507 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"['[', 'instance', ':', ' ', '<*>', ']', ' ', 'Took', ' ', '<*>', ' ', 'seconds', ' ', 'to', ' ', 'destroy', ' ', 'the', ' ', 'instance', ' ', 'on', ' ', 'the', ' ', 'hypervisor.']",a4ab0dee,[instance: <*>] Took <*> seconds to destroy the instance on the hypervisor.,"['be793e89-2cc3-4f99-9884-9c6a624a84bc', '1.01']",[instance: be793e89-2cc3-4f99-9884-9c6a624a84bc] Took 1.01 seconds to destroy the instance on the hypervisor.
39,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:10:39.366,25746,INFO,nova.osapi_compute.wsgi.server,req-93ec4346-3e60-4997-8a32-420bab0a390f 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"[' ', '<*>', ' ', ' ', '""', 'GET', ' ', ' ', '<*>', ' ', 'HTTP', ' ', '<*>', ' ', 'status', ':', ' ', '<*>', ' ', 'len', ':', ' ', '<*>', ' ', 'time', ':', ' ', '0.1886330']",b6a0df50,"<*> ""GET <*> HTTP <*> status: <*> len: <*> time: <*>",[],"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1874 time: 0.1886330"
40,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:10:39.417,2931,INFO,nova.compute.manager,req-d3ff0250-98e8-4ed4-945b-3a67bfe78507 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"['[', 'instance', ':', ' ', '<*>', ']', ' ', 'Took', ' ', '<*>', ' ', 'seconds', ' ', 'to', ' ', 'deallocate', ' ', 'network', ' ', 'for', ' ', 'instance.']",652a820e,[instance: <*>] Took <*> seconds to deallocate network for instance.,"['be793e89-2cc3-4f99-9884-9c6a624a84bc', '0.46']",[instance: be793e89-2cc3-4f99-9884-9c6a624a84bc] Took 0.46 seconds to deallocate network for instance.
41,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:10:40.350,2931,WARNING,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,"['Unknown', ' ', 'base', ' ', 'file', ':', ' ', '/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742']",9f8fe8c0,Unknown base file: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742,[],Unknown base file: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742
