LineId,Date,Time,Level,Component,Content,EventId,EventTemplate,ParameterList,Message
11,17/06/09,20:11:08,INFO,storage.MemoryStore,"['Block', ' ', 'rdd_42_37', ' ', 'stored', ' ', 'as', ' ', 'bytes', ' ', 'in', ' ', 'memory', ' ', '(estimated', ' ', 'size', ' ', '939.0', ' ', ' ', '<*>', ' ', ',', ' ', 'free', ' ', '835.5', ' ', ' ', '<*>', ' ', ')']",e8353a43,"Block <*> stored as bytes in memory (estimated size <*> <*> , free <*> <*> )",[],"Block rdd_42_37 stored as bytes in memory (estimated size 939.0 B, free 835.5 KB)"
12,17/06/09,20:11:08,INFO,storage.MemoryStore,"['Block', ' ', 'rdd_42_36', ' ', 'stored', ' ', 'as', ' ', 'bytes', ' ', 'in', ' ', 'memory', ' ', '(estimated', ' ', 'size', ' ', '912.0', ' ', ' ', '<*>', ' ', ',', ' ', 'free', ' ', '836.4', ' ', ' ', '<*>', ' ', ')']",e8353a43,"Block <*> stored as bytes in memory (estimated size <*> <*> , free <*> <*> )",[],"Block rdd_42_36 stored as bytes in memory (estimated size 912.0 B, free 836.4 KB)"
13,17/06/09,20:11:08,INFO,python.PythonRunner,"['Times', ':', ' ', 'total', ' ', '=', ' ', '<*>', ',', ' ', 'boot', ' ', '=', ' ', '<*>', ',', ' ', 'init', ' ', '=', ' ', '<*>', ',', ' ', 'finish', ' ', '=', ' ', '<*>']",93423942,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","['41', '9', '31', '1']","Times: total = 41, boot = 9, init = 31, finish = 1"
14,17/06/09,20:11:08,INFO,executor.Executor,"['Finished', ' ', 'task', ' ', '<*>', ' ', 'in', ' ', 'stage', ' ', '<*>', ' ', '(TID', ' ', '<*>', ' ', '<*>', ' ', 'bytes', ' ', 'result', ' ', 'sent', ' ', 'to', ' ', 'driver']",33da0487,Finished task <*> in stage <*> (TID <*> <*> bytes result sent to driver,"['35.0', '26.0', '1235).', '2705']",Finished task 35.0 in stage 26.0 (TID 1235). 2705 bytes result sent to driver
15,17/06/09,20:11:08,INFO,python.PythonRunner,"['Times', ':', ' ', 'total', ' ', '=', ' ', '<*>', ',', ' ', 'boot', ' ', '=', ' ', '<*>', ',', ' ', 'init', ' ', '=', ' ', '<*>', ',', ' ', 'finish', ' ', '=', ' ', '<*>']",93423942,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","['48', '17', '25', '6']","Times: total = 48, boot = 17, init = 25, finish = 6"
16,17/06/09,20:11:08,INFO,python.PythonRunner,"['Times', ':', ' ', 'total', ' ', '=', ' ', '<*>', ',', ' ', 'boot', ' ', '=', ' ', '<*>', ',', ' ', 'init', ' ', '=', ' ', '<*>', ',', ' ', 'finish', ' ', '=', ' ', '<*>']",93423942,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","['51', '8', '38', '5']","Times: total = 51, boot = 8, init = 38, finish = 5"
17,17/06/09,20:11:08,INFO,storage.MemoryStore,"['Block', ' ', 'rdd_42_38', ' ', 'stored', ' ', 'as', ' ', 'bytes', ' ', 'in', ' ', 'memory', ' ', '(estimated', ' ', 'size', ' ', '974.0', ' ', ' ', '<*>', ' ', ',', ' ', 'free', ' ', '837.4', ' ', ' ', '<*>', ' ', ')']",e8353a43,"Block <*> stored as bytes in memory (estimated size <*> <*> , free <*> <*> )",[],"Block rdd_42_38 stored as bytes in memory (estimated size 974.0 B, free 837.4 KB)"
18,17/06/09,20:11:08,INFO,storage.MemoryStore,"['Block', ' ', 'rdd_42_39', ' ', 'stored', ' ', 'as', ' ', 'bytes', ' ', 'in', ' ', 'memory', ' ', '(estimated', ' ', 'size', ' ', '877.0', ' ', ' ', '<*>', ' ', ',', ' ', 'free', ' ', '838.2', ' ', ' ', '<*>', ' ', ')']",e8353a43,"Block <*> stored as bytes in memory (estimated size <*> <*> , free <*> <*> )",[],"Block rdd_42_39 stored as bytes in memory (estimated size 877.0 B, free 838.2 KB)"
19,17/06/09,20:11:08,INFO,python.PythonRunner,"['Times', ':', ' ', 'total', ' ', '=', ' ', '<*>', ',', ' ', 'boot', ' ', '=', ' ', '<*>', ',', ' ', 'init', ' ', '=', ' ', '<*>', ',', ' ', 'finish', ' ', '=', ' ', '<*>']",93423942,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","['40', '24', '16', '0']","Times: total = 40, boot = 24, init = 16, finish = 0"
20,17/06/09,20:11:08,INFO,python.PythonRunner,"['Times', ':', ' ', 'total', ' ', '=', ' ', '<*>', ',', ' ', 'boot', ' ', '=', ' ', '<*>', ',', ' ', 'init', ' ', '=', ' ', '<*>', ',', ' ', 'finish', ' ', '=', ' ', '<*>']",93423942,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","['42', '22', '19', '1']","Times: total = 42, boot = 22, init = 19, finish = 1"
21,17/06/09,20:11:08,INFO,executor.Executor,"['Finished', ' ', 'task', ' ', '36.0', ' ', 'in', ' ', 'stage', ' ', '26.0', ' ', '(TID', ' ', '1236).', ' ', '<*>', ' ', 'bytes', ' ', 'result', ' ', 'sent', ' ', 'to', ' ', 'driver']",33da0487,Finished task <*> in stage <*> (TID <*> <*> bytes result sent to driver,"['36.0', '26.0', '1236).', '2705']",Finished task 36.0 in stage 26.0 (TID 1236). 2705 bytes result sent to driver
22,17/06/09,20:11:08,INFO,executor.Executor,"['Finished', ' ', 'task', ' ', '37.0', ' ', 'in', ' ', 'stage', ' ', '26.0', ' ', '(TID', ' ', '1237).', ' ', '<*>', ' ', 'bytes', ' ', 'result', ' ', 'sent', ' ', 'to', ' ', 'driver']",33da0487,Finished task <*> in stage <*> (TID <*> <*> bytes result sent to driver,"['37.0', '26.0', '1237).', '2705']",Finished task 37.0 in stage 26.0 (TID 1237). 2705 bytes result sent to driver
23,17/06/09,20:11:08,INFO,python.PythonRunner,"['Times', ':', ' ', 'total', ' ', '=', ' ', '<*>', ',', ' ', 'boot', ' ', '=', ' ', '<*>', ',', ' ', 'init', ' ', '=', ' ', '<*>', ',', ' ', 'finish', ' ', '=', ' ', '<*>']",93423942,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","['40', '13', '27', '0']","Times: total = 40, boot = 13, init = 27, finish = 0"
24,17/06/09,20:11:08,INFO,python.PythonRunner,"['Times', ':', ' ', 'total', ' ', '=', ' ', '<*>', ',', ' ', 'boot', ' ', '=', ' ', '<*>', ',', ' ', 'init', ' ', '=', ' ', '<*>', ',', ' ', 'finish', ' ', '=', ' ', '<*>']",93423942,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","['38', '18', '20', '0']","Times: total = 38, boot = 18, init = 20, finish = 0"
25,17/06/09,20:11:08,INFO,executor.Executor,"['Finished', ' ', 'task', ' ', '38.0', ' ', 'in', ' ', 'stage', ' ', '26.0', ' ', '(TID', ' ', '1238).', ' ', '<*>', ' ', 'bytes', ' ', 'result', ' ', 'sent', ' ', 'to', ' ', 'driver']",33da0487,Finished task <*> in stage <*> (TID <*> <*> bytes result sent to driver,"['38.0', '26.0', '1238).', '2703']",Finished task 38.0 in stage 26.0 (TID 1238). 2703 bytes result sent to driver
26,17/06/09,20:11:08,INFO,executor.Executor,"['Finished', ' ', 'task', ' ', '39.0', ' ', 'in', ' ', 'stage', ' ', '26.0', ' ', '(TID', ' ', '1239).', ' ', '<*>', ' ', 'bytes', ' ', 'result', ' ', 'sent', ' ', 'to', ' ', 'driver']",33da0487,Finished task <*> in stage <*> (TID <*> <*> bytes result sent to driver,"['39.0', '26.0', '1239).', '2703']",Finished task 39.0 in stage 26.0 (TID 1239). 2703 bytes result sent to driver
27,17/06/09,20:11:08,INFO,executor.CoarseGrainedExecutorBackend,"['Got', ' ', 'assigned', ' ', 'task', ' ', '<*>']",9ba7fdc2,Got assigned task <*>,['1240'],Got assigned task 1240
28,17/06/09,20:11:08,INFO,executor.Executor,"['Running', ' ', 'task', ' ', '0.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1240)']",ae0572db,Running task <*> in stage <*> (TID <*>,"['0.0', '27.0', '1240)']",Running task 0.0 in stage 27.0 (TID 1240)
29,17/06/09,20:11:08,INFO,executor.CoarseGrainedExecutorBackend,"['Got', ' ', 'assigned', ' ', 'task', ' ', '<*>']",9ba7fdc2,Got assigned task <*>,['1241'],Got assigned task 1241
30,17/06/09,20:11:08,INFO,executor.Executor,"['Running', ' ', 'task', ' ', '1.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1241)']",ae0572db,Running task <*> in stage <*> (TID <*>,"['1.0', '27.0', '1241)']",Running task 1.0 in stage 27.0 (TID 1241)
31,17/06/09,20:11:08,INFO,executor.CoarseGrainedExecutorBackend,"['Got', ' ', 'assigned', ' ', 'task', ' ', '<*>']",9ba7fdc2,Got assigned task <*>,['1242'],Got assigned task 1242
32,17/06/09,20:11:08,INFO,broadcast.TorrentBroadcast,"['Started', ' ', 'reading', ' ', 'broadcast', ' ', 'variable', ' ', '<*>']",6c90e140,Started reading broadcast variable <*>,['38'],Started reading broadcast variable 38
33,17/06/09,20:11:08,INFO,executor.Executor,"['Running', ' ', 'task', ' ', '2.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1242)']",ae0572db,Running task <*> in stage <*> (TID <*>,"['2.0', '27.0', '1242)']",Running task 2.0 in stage 27.0 (TID 1242)
34,17/06/09,20:11:08,INFO,executor.CoarseGrainedExecutorBackend,"['Got', ' ', 'assigned', ' ', 'task', ' ', '<*>']",9ba7fdc2,Got assigned task <*>,['1243'],Got assigned task 1243
35,17/06/09,20:11:08,INFO,executor.Executor,"['Running', ' ', 'task', ' ', '3.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1243)']",ae0572db,Running task <*> in stage <*> (TID <*>,"['3.0', '27.0', '1243)']",Running task 3.0 in stage 27.0 (TID 1243)
36,17/06/09,20:11:08,INFO,executor.CoarseGrainedExecutorBackend,"['Got', ' ', 'assigned', ' ', 'task', ' ', '<*>']",9ba7fdc2,Got assigned task <*>,['1244'],Got assigned task 1244
37,17/06/09,20:11:08,INFO,executor.Executor,"['Running', ' ', 'task', ' ', '4.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1244)']",ae0572db,Running task <*> in stage <*> (TID <*>,"['4.0', '27.0', '1244)']",Running task 4.0 in stage 27.0 (TID 1244)
38,17/06/09,20:11:08,INFO,storage.MemoryStore,"['Block', ' ', 'broadcast_38_piece0', ' ', 'stored', ' ', 'as', ' ', 'bytes', ' ', 'in', ' ', 'memory', ' ', '(estimated', ' ', 'size', ' ', '5.8', ' ', ' ', '<*>', ' ', ',', ' ', 'free', ' ', '844.0', ' ', ' ', '<*>', ' ', ')']",e8353a43,"Block <*> stored as bytes in memory (estimated size <*> <*> , free <*> <*> )",[],"Block broadcast_38_piece0 stored as bytes in memory (estimated size 5.8 KB, free 844.0 KB)"
39,17/06/09,20:11:08,INFO,broadcast.TorrentBroadcast,"['Reading', ' ', 'broadcast', ' ', 'variable', ' ', '<*>', ' ', 'took', ' ', '<*>', ' ', 'ms']",c0edc03b,Reading broadcast variable <*> took <*> ms,"['38', '11']",Reading broadcast variable 38 took 11 ms
40,17/06/09,20:11:08,INFO,storage.MemoryStore,"['Block', ' ', '<*>', ' ', 'stored', ' ', 'as', ' ', 'values', ' ', 'in', ' ', 'memory', ' ', '(estimated', ' ', 'size', ' ', '<*>', ' ', ' ', '<*>', ' ', ',', ' ', 'free', ' ', '<*>', ' ', ' ', '<*>', ' ', ')']",3528ee28,"Block <*> stored as values in memory (estimated size <*> <*> , free <*> <*> )",[],"Block broadcast_38 stored as values in memory (estimated size 9.6 KB, free 853.7 KB)"
41,17/06/09,20:11:08,INFO,storage.BlockManager,"['Found', ' ', 'block', ' ', '<*>', ' ', 'locally']",d7f24216,Found block <*> locally,['rdd_42_0'],Found block rdd_42_0 locally
42,17/06/09,20:11:08,INFO,storage.BlockManager,"['Found', ' ', 'block', ' ', 'rdd_42_4', ' ', 'locally']",d7f24216,Found block <*> locally,['rdd_42_4'],Found block rdd_42_4 locally
43,17/06/09,20:11:08,INFO,storage.BlockManager,"['Found', ' ', 'block', ' ', 'rdd_42_2', ' ', 'locally']",d7f24216,Found block <*> locally,['rdd_42_2'],Found block rdd_42_2 locally
44,17/06/09,20:11:08,INFO,storage.BlockManager,"['Found', ' ', 'block', ' ', 'rdd_42_3', ' ', 'locally']",d7f24216,Found block <*> locally,['rdd_42_3'],Found block rdd_42_3 locally
45,17/06/09,20:11:08,INFO,storage.BlockManager,"['Found', ' ', 'block', ' ', 'rdd_42_1', ' ', 'locally']",d7f24216,Found block <*> locally,['rdd_42_1'],Found block rdd_42_1 locally
46,17/06/09,20:11:08,INFO,python.PythonRunner,"['Times', ':', ' ', 'total', ' ', '=', ' ', '<*>', ',', ' ', 'boot', ' ', '=', ' ', '-108', ',', ' ', 'init', ' ', '=', ' ', '<*>', ',', ' ', 'finish', ' ', '=', ' ', '<*>']",93423942,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","['39', '-108', '146', '1']","Times: total = 39, boot = -108, init = 146, finish = 1"
47,17/06/09,20:11:08,INFO,python.PythonRunner,"['Times', ':', ' ', 'total', ' ', '=', ' ', '<*>', ',', ' ', 'boot', ' ', '=', ' ', '-77', ',', ' ', 'init', ' ', '=', ' ', '<*>', ',', ' ', 'finish', ' ', '=', ' ', '<*>']",93423942,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","['42', '-77', '118', '1']","Times: total = 42, boot = -77, init = 118, finish = 1"
48,17/06/09,20:11:08,INFO,executor.Executor,"['Finished', ' ', 'task', ' ', '0.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1240).', ' ', '<*>', ' ', 'bytes', ' ', 'result', ' ', 'sent', ' ', 'to', ' ', 'driver']",33da0487,Finished task <*> in stage <*> (TID <*> <*> bytes result sent to driver,"['0.0', '27.0', '1240).', '2474']",Finished task 0.0 in stage 27.0 (TID 1240). 2474 bytes result sent to driver
49,17/06/09,20:11:08,INFO,python.PythonRunner,"['Times', ':', ' ', 'total', ' ', '=', ' ', '<*>', ',', ' ', 'boot', ' ', '=', ' ', '-71', ',', ' ', 'init', ' ', '=', ' ', '<*>', ',', ' ', 'finish', ' ', '=', ' ', '<*>']",93423942,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","['41', '-71', '111', '1']","Times: total = 41, boot = -71, init = 111, finish = 1"
50,17/06/09,20:11:08,INFO,python.PythonRunner,"['Times', ':', ' ', 'total', ' ', '=', ' ', '<*>', ',', ' ', 'boot', ' ', '=', ' ', '-64', ',', ' ', 'init', ' ', '=', ' ', '<*>', ',', ' ', 'finish', ' ', '=', ' ', '<*>']",93423942,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","['39', '-64', '102', '1']","Times: total = 39, boot = -64, init = 102, finish = 1"
51,17/06/09,20:11:08,INFO,executor.Executor,"['Finished', ' ', 'task', ' ', '4.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1244).', ' ', '<*>', ' ', 'bytes', ' ', 'result', ' ', 'sent', ' ', 'to', ' ', 'driver']",33da0487,Finished task <*> in stage <*> (TID <*> <*> bytes result sent to driver,"['4.0', '27.0', '1244).', '2685']",Finished task 4.0 in stage 27.0 (TID 1244). 2685 bytes result sent to driver
52,17/06/09,20:11:08,INFO,python.PythonRunner,"['Times', ':', ' ', 'total', ' ', '=', ' ', '<*>', ',', ' ', 'boot', ' ', '=', ' ', '-66', ',', ' ', 'init', ' ', '=', ' ', '<*>', ',', ' ', 'finish', ' ', '=', ' ', '<*>']",93423942,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","['42', '-66', '107', '1']","Times: total = 42, boot = -66, init = 107, finish = 1"
53,17/06/09,20:11:08,INFO,executor.Executor,"['Finished', ' ', 'task', ' ', '2.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1242).', ' ', '<*>', ' ', 'bytes', ' ', 'result', ' ', 'sent', ' ', 'to', ' ', 'driver']",33da0487,Finished task <*> in stage <*> (TID <*> <*> bytes result sent to driver,"['2.0', '27.0', '1242).', '2523']",Finished task 2.0 in stage 27.0 (TID 1242). 2523 bytes result sent to driver
54,17/06/09,20:11:08,INFO,executor.CoarseGrainedExecutorBackend,"['Got', ' ', 'assigned', ' ', 'task', ' ', '<*>']",9ba7fdc2,Got assigned task <*>,['1245'],Got assigned task 1245
55,17/06/09,20:11:08,INFO,executor.Executor,"['Running', ' ', 'task', ' ', '5.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1245)']",ae0572db,Running task <*> in stage <*> (TID <*>,"['5.0', '27.0', '1245)']",Running task 5.0 in stage 27.0 (TID 1245)
56,17/06/09,20:11:08,INFO,executor.Executor,"['Finished', ' ', 'task', ' ', '3.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1243).', ' ', '<*>', ' ', 'bytes', ' ', 'result', ' ', 'sent', ' ', 'to', ' ', 'driver']",33da0487,Finished task <*> in stage <*> (TID <*> <*> bytes result sent to driver,"['3.0', '27.0', '1243).', '2651']",Finished task 3.0 in stage 27.0 (TID 1243). 2651 bytes result sent to driver
57,17/06/09,20:11:08,INFO,executor.CoarseGrainedExecutorBackend,"['Got', ' ', 'assigned', ' ', 'task', ' ', '<*>']",9ba7fdc2,Got assigned task <*>,['1246'],Got assigned task 1246
58,17/06/09,20:11:08,INFO,executor.Executor,"['Finished', ' ', 'task', ' ', '1.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1241).', ' ', '<*>', ' ', 'bytes', ' ', 'result', ' ', 'sent', ' ', 'to', ' ', 'driver']",33da0487,Finished task <*> in stage <*> (TID <*> <*> bytes result sent to driver,"['1.0', '27.0', '1241).', '2428']",Finished task 1.0 in stage 27.0 (TID 1241). 2428 bytes result sent to driver
59,17/06/09,20:11:08,INFO,executor.Executor,"['Running', ' ', 'task', ' ', '6.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1246)']",ae0572db,Running task <*> in stage <*> (TID <*>,"['6.0', '27.0', '1246)']",Running task 6.0 in stage 27.0 (TID 1246)
60,17/06/09,20:11:08,INFO,executor.CoarseGrainedExecutorBackend,"['Got', ' ', 'assigned', ' ', 'task', ' ', '<*>']",9ba7fdc2,Got assigned task <*>,['1247'],Got assigned task 1247
61,17/06/09,20:11:08,INFO,executor.Executor,"['Running', ' ', 'task', ' ', '7.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1247)']",ae0572db,Running task <*> in stage <*> (TID <*>,"['7.0', '27.0', '1247)']",Running task 7.0 in stage 27.0 (TID 1247)
62,17/06/09,20:11:08,INFO,storage.BlockManager,"['Found', ' ', 'block', ' ', 'rdd_42_5', ' ', 'locally']",d7f24216,Found block <*> locally,['rdd_42_5'],Found block rdd_42_5 locally
63,17/06/09,20:11:08,INFO,executor.CoarseGrainedExecutorBackend,"['Got', ' ', 'assigned', ' ', 'task', ' ', '<*>']",9ba7fdc2,Got assigned task <*>,['1248'],Got assigned task 1248
64,17/06/09,20:11:09,INFO,executor.Executor,"['Running', ' ', 'task', ' ', '8.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1248)']",ae0572db,Running task <*> in stage <*> (TID <*>,"['8.0', '27.0', '1248)']",Running task 8.0 in stage 27.0 (TID 1248)
65,17/06/09,20:11:09,INFO,executor.CoarseGrainedExecutorBackend,"['Got', ' ', 'assigned', ' ', 'task', ' ', '<*>']",9ba7fdc2,Got assigned task <*>,['1249'],Got assigned task 1249
66,17/06/09,20:11:09,INFO,executor.Executor,"['Running', ' ', 'task', ' ', '9.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1249)']",ae0572db,Running task <*> in stage <*> (TID <*>,"['9.0', '27.0', '1249)']",Running task 9.0 in stage 27.0 (TID 1249)
67,17/06/09,20:11:09,INFO,storage.BlockManager,"['Found', ' ', 'block', ' ', 'rdd_42_7', ' ', 'locally']",d7f24216,Found block <*> locally,['rdd_42_7'],Found block rdd_42_7 locally
68,17/06/09,20:11:09,INFO,storage.BlockManager,"['Found', ' ', 'block', ' ', 'rdd_42_6', ' ', 'locally']",d7f24216,Found block <*> locally,['rdd_42_6'],Found block rdd_42_6 locally
69,17/06/09,20:11:09,INFO,storage.BlockManager,"['Found', ' ', 'block', ' ', 'rdd_42_8', ' ', 'locally']",d7f24216,Found block <*> locally,['rdd_42_8'],Found block rdd_42_8 locally
70,17/06/09,20:11:09,INFO,storage.BlockManager,"['Found', ' ', 'block', ' ', 'rdd_42_9', ' ', 'locally']",d7f24216,Found block <*> locally,['rdd_42_9'],Found block rdd_42_9 locally
71,17/06/09,20:11:09,INFO,python.PythonRunner,"['Times', ':', ' ', 'total', ' ', '=', ' ', '<*>', ',', ' ', 'boot', ' ', '=', ' ', '<*>', ',', ' ', 'init', ' ', '=', ' ', '<*>', ',', ' ', 'finish', ' ', '=', ' ', '<*>']",93423942,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","['40', '26', '13', '1']","Times: total = 40, boot = 26, init = 13, finish = 1"
72,17/06/09,20:11:09,INFO,executor.Executor,"['Finished', ' ', 'task', ' ', '5.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1245).', ' ', '<*>', ' ', 'bytes', ' ', 'result', ' ', 'sent', ' ', 'to', ' ', 'driver']",33da0487,Finished task <*> in stage <*> (TID <*> <*> bytes result sent to driver,"['5.0', '27.0', '1245).', '2721']",Finished task 5.0 in stage 27.0 (TID 1245). 2721 bytes result sent to driver
73,17/06/09,20:11:09,INFO,python.PythonRunner,"['Times', ':', ' ', 'total', ' ', '=', ' ', '<*>', ',', ' ', 'boot', ' ', '=', ' ', '<*>', ',', ' ', 'init', ' ', '=', ' ', '<*>', ',', ' ', 'finish', ' ', '=', ' ', '<*>']",93423942,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","['42', '13', '28', '1']","Times: total = 42, boot = 13, init = 28, finish = 1"
74,17/06/09,20:11:09,INFO,python.PythonRunner,"['Times', ':', ' ', 'total', ' ', '=', ' ', '<*>', ',', ' ', 'boot', ' ', '=', ' ', '<*>', ',', ' ', 'init', ' ', '=', ' ', '<*>', ',', ' ', 'finish', ' ', '=', ' ', '<*>']",93423942,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","['40', '15', '25', '0']","Times: total = 40, boot = 15, init = 25, finish = 0"
75,17/06/09,20:11:09,INFO,python.PythonRunner,"['Times', ':', ' ', 'total', ' ', '=', ' ', '<*>', ',', ' ', 'boot', ' ', '=', ' ', '<*>', ',', ' ', 'init', ' ', '=', ' ', '<*>', ',', ' ', 'finish', ' ', '=', ' ', '<*>']",93423942,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","['42', '24', '17', '1']","Times: total = 42, boot = 24, init = 17, finish = 1"
76,17/06/09,20:11:09,INFO,executor.CoarseGrainedExecutorBackend,"['Got', ' ', 'assigned', ' ', 'task', ' ', '<*>']",9ba7fdc2,Got assigned task <*>,['1250'],Got assigned task 1250
77,17/06/09,20:11:09,INFO,executor.Executor,"['Running', ' ', 'task', ' ', '10.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1250)']",ae0572db,Running task <*> in stage <*> (TID <*>,"['10.0', '27.0', '1250)']",Running task 10.0 in stage 27.0 (TID 1250)
78,17/06/09,20:11:09,INFO,python.PythonRunner,"['Times', ':', ' ', 'total', ' ', '=', ' ', '<*>', ',', ' ', 'boot', ' ', '=', ' ', '<*>', ',', ' ', 'init', ' ', '=', ' ', '<*>', ',', ' ', 'finish', ' ', '=', ' ', '<*>']",93423942,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","['43', '13', '29', '1']","Times: total = 43, boot = 13, init = 29, finish = 1"
