LineId,Date,Time,Level,Node,Component,Id,Content,EventId,EventTemplate,ParameterList,Message
13,2015-08-10,"18:25:27,964",INFO,NIOServerCxn.Factory,0.0.0.0/0.0.0.0:2181:ZooKeeperServer,832,"['Client', ' ', 'attempting', ' ', 'to', ' ', 'renew', ' ', 'session', ' ', '0x24f0557806a0020', ' ', 'at', ' ', '/<*>']",cbd1e3c7,Client attempting to renew session 0x24f0557806a0020 at /<*>,['10.10.34.17:55969'],Client attempting to renew session 0x24f0557806a0020 at /10.10.34.17:55969
14,2015-08-10,"18:25:52,337",WARN,NIOServerCxn.Factory,0.0.0.0/0.0.0.0:2181:NIOServerCnxn,349,"['caught', ' ', 'end', ' ', 'of', ' ', 'stream', ' ', 'exception']",ecefe136,caught end of stream exception,[],caught end of stream exception
15,2015-08-10,"18:25:52,537",INFO,NIOServerCxn.Factory,0.0.0.0/0.0.0.0:2181:NIOServerCnxn,1001,"['Closed', ' ', 'socket', ' ', 'connection', ' ', 'for', ' ', 'client', ' ', '/<*>', ' ', 'which', ' ', 'had', ' ', 'sessionid', ' ', '<*>']",faeda298,Closed socket connection for client /<*> which had sessionid <*>,"['10.10.34.13:36187', '0x24f0557806a001b']",Closed socket connection for client /10.10.34.13:36187 which had sessionid 0x24f0557806a001b
16,2015-08-10,"18:26:03,376",INFO,CommitProcessor,2:ZooKeeperServer,595,"['Established', ' ', 'session', ' ', '0x24f1724b8af0009', ' ', 'with', ' ', 'negotiated', ' ', 'timeout', ' ', '<*>', ' ', 'for', ' ', 'client', ' ', '/<*>']",a6705c08,Established session <*> with negotiated timeout <*> for client /<*>,"['0x24f1724b8af0009', '10000', '10.10.34.21:44834']",Established session 0x24f1724b8af0009 with negotiated timeout 10000 for client /10.10.34.21:44834
17,2015-08-10,"18:35:11,692",INFO,NIOServerCxn.Factory,0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory,197,"['Accepted', ' ', 'socket', ' ', 'connection', ' ', 'from', ' ', '/<*>']",c2d2b5cf,Accepted socket connection from /<*>,['10.10.34.11:51562'],Accepted socket connection from /10.10.34.11:51562
18,2015-08-18,"16:09:18,789",INFO,QuorumPeer[myid=2]/0,0:0:0:0:0:0:0:2181:Environment,100,"['Server', ' ', 'environment', ':', '<*>', '=', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>']",73fdf93d,Server environment:<*>=<*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*>,"['java.class.path', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '/etc/zookeeper/conf:/usr/share/java/jline.jar:/usr/share/java/log4j-1.2.jar:/usr/share/java/xercesImpl.jar:/usr/share/java/xmlParserAPIs.jar:/usr/share/java/netty.jar:/usr/share/java/slf4j-api.jar:/usr/share/java/slf4j-log4j12.jar:/usr/share/java/zookeeper.jar']",Server environment:java.class.path=/etc/zookeeper/conf:/usr/share/java/jline.jar:/usr/share/java/log4j-1.2.jar:/usr/share/java/xercesImpl.jar:/usr/share/java/xmlParserAPIs.jar:/usr/share/java/netty.jar:/usr/share/java/slf4j-api.jar:/usr/share/java/slf4j-log4j12.jar:/usr/share/java/zookeeper.jar
19,2015-08-18,"16:09:18,900",INFO,LearnerHandler-/10.10.34.11,49928:Leader,598,"['Have', ' ', 'quorum', ' ', 'of', ' ', 'supporters', ';', ' ', 'starting', ' ', 'up', ' ', 'and', ' ', 'setting', ' ', 'last', ' ', 'processed', ' ', 'zxid', ':', ' ', '0xb00000000']",a3e8a36b,Have quorum of supporters; starting up and setting last processed zxid: 0xb00000000,[],Have quorum of supporters; starting up and setting last processed zxid: 0xb00000000
20,2015-08-18,"16:09:22,982",INFO,WorkerReceiver[myid=2],FastLeaderElection,542,"['Notification', ':', ' ', '<*>', ' ', '(n.leader)', ',', ' ', '0xa0000009a', ' ', '(n.zxid)', ',', ' ', '0x1', ' ', '(n.round)', ',', ' ', 'FOLLOWING', ' ', '(n.state)', ',', ' ', '<*>', ' ', '(n.sid)', ',', ' ', '0xa', ' ', '(n.peerEPoch)', ',', ' ', 'LEADING', ' ', '(my', ' ', 'state)']",4e588b2c,"Notification: <*> (n.leader), 0xa0000009a (n.zxid), 0x1 (n.round), FOLLOWING (n.state), <*> (n.sid), 0xa (n.peerEPoch), LEADING (my state)","['2', '1']","Notification: 2 (n.leader), 0xa0000009a (n.zxid), 0x1 (n.round), FOLLOWING (n.state), 1 (n.sid), 0xa (n.peerEPoch), LEADING (my state)"
21,2015-08-18,"16:09:30,004",INFO,SessionTracker,ZooKeeperServer,325,"['Expiring', ' ', 'session', ' ', '<*>', ',', ' ', 'timeout', ' ', 'of', ' ', '10000ms', ' ', 'exceeded']",5693b05a,"Expiring session <*>, timeout of 10000ms exceeded",['0x14f1724a6e80011'],"Expiring session 0x14f1724a6e80011, timeout of 10000ms exceeded"
22,2015-08-18,"16:09:30,009",INFO,ProcessThread(sid,2 cport:-1)::PrepRequestProcessor,476,"['Processed', ' ', 'session', ' ', 'termination', ' ', 'for', ' ', 'sessionid', ':', ' ', '<*>']",61a003ea,Processed session termination for sessionid: <*>,['0x34f1724a35e000c'],Processed session termination for sessionid: 0x34f1724a35e000c
23,2015-08-18,"16:09:30,013",INFO,ProcessThread(sid,2 cport:-1)::PrepRequestProcessor,476,"['Processed', ' ', 'session', ' ', 'termination', ' ', 'for', ' ', 'sessionid', ':', ' ', '0x14f1724a6e8000d']",61a003ea,Processed session termination for sessionid: <*>,['0x14f1724a6e8000d'],Processed session termination for sessionid: 0x14f1724a6e8000d
24,2015-08-20,"13:12:40,288",INFO,NIOServerCxn.Factory,0.0.0.0/0.0.0.0:2181:ZooKeeperServer,839,"['Client', ' ', 'attempting', ' ', 'to', ' ', 'establish', ' ', 'new', ' ', 'session', ' ', 'at', ' ', '/<*>']",16e13a06,Client attempting to establish new session at /<*>,['10.10.34.12:36322'],Client attempting to establish new session at /10.10.34.12:36322
25,2015-08-20,"13:13:18,000",INFO,SessionTracker,ZooKeeperServer,325,"['Expiring', ' ', 'session', ' ', '0x14f3fdae8ba0002', ',', ' ', 'timeout', ' ', 'of', ' ', '10000ms', ' ', 'exceeded']",5693b05a,"Expiring session <*>, timeout of 10000ms exceeded",['0x14f3fdae8ba0002'],"Expiring session 0x14f3fdae8ba0002, timeout of 10000ms exceeded"
26,2015-08-20,"13:13:20,001",INFO,ProcessThread(sid,2 cport:-1)::PrepRequestProcessor,476,"['Processed', ' ', 'session', ' ', 'termination', ' ', 'for', ' ', 'sessionid', ':', ' ', '0x14f3fdae8ba0001']",61a003ea,Processed session termination for sessionid: <*>,['0x14f3fdae8ba0001'],Processed session termination for sessionid: 0x14f3fdae8ba0001
27,2015-08-20,"17:12:28,002",INFO,SessionTracker,ZooKeeperServer,325,"['Expiring', ' ', 'session', ' ', '0x24f3fdaf738000a', ',', ' ', 'timeout', ' ', 'of', ' ', '10000ms', ' ', 'exceeded']",5693b05a,"Expiring session <*>, timeout of 10000ms exceeded",['0x24f3fdaf738000a'],"Expiring session 0x24f3fdaf738000a, timeout of 10000ms exceeded"
28,2015-08-20,"17:12:29,085",INFO,QuorumPeer[myid=2]/0,0:0:0:0:0:0:0:2181:FinalRequestProcessor,415,"['shutdown', ' ', 'of', ' ', 'request', ' ', 'processor', ' ', 'complete']",c7ef5ae9,shutdown of request processor complete,[],shutdown of request processor complete
29,2015-08-20,"17:12:45,757",INFO,NIOServerCxn.Factory,0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory,197,"['Accepted', ' ', 'socket', ' ', 'connection', ' ', 'from', ' ', '/<*>']",c2d2b5cf,Accepted socket connection from /<*>,['10.10.34.12:36358'],Accepted socket connection from /10.10.34.12:36358
30,2015-08-20,"17:12:45,757",WARN,NIOServerCxn.Factory,0.0.0.0/0.0.0.0:2181:NIOServerCnxn,354,"['Exception', ' ', 'causing', ' ', 'close', ' ', 'of', ' ', 'session', ' ', '0x0', ' ', 'due', ' ', 'to', ' ', 'java.io.IOException', ':', ' ', 'ZooKeeperServer', ' ', 'not', ' ', 'running']",ecf6827a,Exception causing close of session 0x0 due to java.io.IOException: ZooKeeperServer not running,[],Exception causing close of session 0x0 due to java.io.IOException: ZooKeeperServer not running
31,2015-08-20,"17:13:23,515",INFO,NIOServerCxn.Factory,0.0.0.0/0.0.0.0:2181:NIOServerCnxn,1001,"['Closed', ' ', 'socket', ' ', 'connection', ' ', 'for', ' ', 'client', ' ', '/<*>', ' ', '(no', ' ', 'session', ' ', 'established', ' ', 'for', ' ', 'client)']",40db7d01,Closed socket connection for client /<*> (no session established for client),['10.10.34.12:36401'],Closed socket connection for client /10.10.34.12:36401 (no session established for client)
32,2015-08-20,"17:13:51,524",WARN,NIOServerCxn.Factory,0.0.0.0/0.0.0.0:2181:NIOServerCnxn,354,"['Exception', ' ', 'causing', ' ', 'close', ' ', 'of', ' ', 'session', ' ', '0x0', ' ', 'due', ' ', 'to', ' ', 'java.io.IOException', ':', ' ', 'ZooKeeperServer', ' ', 'not', ' ', 'running']",ecf6827a,Exception causing close of session 0x0 due to java.io.IOException: ZooKeeperServer not running,[],Exception causing close of session 0x0 due to java.io.IOException: ZooKeeperServer not running
33,2015-08-20,"17:14:13,880",WARN,LearnerHandler-/10.10.34.13,42241:Leader,576,"['First', ' ', 'is', ' ', '0x0']",9cb3def4,First is 0x0,[],First is 0x0
34,2015-08-20,"17:14:14,195",INFO,WorkerReceiver[myid=2],FastLeaderElection,542,"['Notification', ':', ' ', '<*>', ' ', '(n.leader)', ',', ' ', '0xb0000007b', ' ', '(n.zxid)', ',', ' ', '0x2', ' ', '(n.round)', ',', ' ', 'LOOKING', ' ', '(n.state)', ',', ' ', '<*>', ' ', '(n.sid)', ',', ' ', '0xb', ' ', '(n.peerEPoch)', ',', ' ', 'LEADING', ' ', '(my', ' ', 'state)']",f8468763,"Notification: <*> (n.leader), 0xb0000007b (n.zxid), 0x2 (n.round), LOOKING (n.state), <*> (n.sid), 0xb (n.peerEPoch), LEADING (my state)","['1', '1']","Notification: 1 (n.leader), 0xb0000007b (n.zxid), 0x2 (n.round), LOOKING (n.state), 1 (n.sid), 0xb (n.peerEPoch), LEADING (my state)"
35,2015-08-20,"17:14:14,196",INFO,WorkerReceiver[myid=2],FastLeaderElection,542,"['Notification', ':', ' ', '<*>', ' ', '(n.leader)', ',', ' ', '0xb0000007b', ' ', '(n.zxid)', ',', ' ', '0x2', ' ', '(n.round)', ',', ' ', 'LOOKING', ' ', '(n.state)', ',', ' ', '<*>', ' ', '(n.sid)', ',', ' ', '0xb', ' ', '(n.peerEPoch)', ',', ' ', 'LEADING', ' ', '(my', ' ', 'state)']",f8468763,"Notification: <*> (n.leader), 0xb0000007b (n.zxid), 0x2 (n.round), LOOKING (n.state), <*> (n.sid), 0xb (n.peerEPoch), LEADING (my state)","['1', '1']","Notification: 1 (n.leader), 0xb0000007b (n.zxid), 0x2 (n.round), LOOKING (n.state), 1 (n.sid), 0xb (n.peerEPoch), LEADING (my state)"
36,2015-08-20,"17:14:24,000",INFO,SessionTracker,ZooKeeperServer,325,"['Expiring', ' ', 'session', ' ', '0x14f3fdae8ba0017', ',', ' ', 'timeout', ' ', 'of', ' ', '10000ms', ' ', 'exceeded']",5693b05a,"Expiring session <*>, timeout of 10000ms exceeded",['0x14f3fdae8ba0017'],"Expiring session 0x14f3fdae8ba0017, timeout of 10000ms exceeded"
37,2015-08-20,"17:14:24,000",INFO,SessionTracker,ZooKeeperServer,325,"['Expiring', ' ', 'session', ' ', '0x14f3fdae8ba000c', ',', ' ', 'timeout', ' ', 'of', ' ', '10000ms', ' ', 'exceeded']",5693b05a,"Expiring session <*>, timeout of 10000ms exceeded",['0x14f3fdae8ba000c'],"Expiring session 0x14f3fdae8ba000c, timeout of 10000ms exceeded"
38,2015-08-20,"17:14:24,000",INFO,SessionTracker,ZooKeeperServer,325,"['Expiring', ' ', 'session', ' ', '0x24f3fdaf7380008', ',', ' ', 'timeout', ' ', 'of', ' ', '10000ms', ' ', 'exceeded']",5693b05a,"Expiring session <*>, timeout of 10000ms exceeded",['0x24f3fdaf7380008'],"Expiring session 0x24f3fdaf7380008, timeout of 10000ms exceeded"
39,2015-08-20,"17:23:54,127",INFO,NIOServerCxn.Factory,0.0.0.0/0.0.0.0:2181:NIOServerCnxn,1001,"['Closed', ' ', 'socket', ' ', 'connection', ' ', 'for', ' ', 'client', ' ', '/<*>', ' ', 'which', ' ', 'had', ' ', 'sessionid', ' ', '0x24f4a631df90002']",faeda298,Closed socket connection for client /<*> which had sessionid <*>,"['10.10.34.19:60483', '0x24f4a631df90002']",Closed socket connection for client /10.10.34.19:60483 which had sessionid 0x24f4a631df90002
40,2015-08-20,"17:24:04,002",INFO,SessionTracker,ZooKeeperServer,325,"['Expiring', ' ', 'session', ' ', '0x24f4a631df90002', ',', ' ', 'timeout', ' ', 'of', ' ', '10000ms', ' ', 'exceeded']",5693b05a,"Expiring session <*>, timeout of 10000ms exceeded",['0x24f4a631df90002'],"Expiring session 0x24f4a631df90002, timeout of 10000ms exceeded"
41,2015-08-20,"17:24:09,157",INFO,CommitProcessor,2:ZooKeeperServer,595,"['Established', ' ', 'session', ' ', '0x24f4a631df9000e', ' ', 'with', ' ', 'negotiated', ' ', 'timeout', ' ', '<*>', ' ', 'for', ' ', 'client', ' ', '/<*>']",a6705c08,Established session <*> with negotiated timeout <*> for client /<*>,"['0x24f4a631df9000e', '10000', '10.10.34.16:53681']",Established session 0x24f4a631df9000e with negotiated timeout 10000 for client /10.10.34.16:53681
42,2015-08-20,"17:24:10,005",INFO,ProcessThread(sid,2 cport:-1)::PrepRequestProcessor,476,"['Processed', ' ', 'session', ' ', 'termination', ' ', 'for', ' ', 'sessionid', ':', ' ', '0x34f4a63146b000f']",61a003ea,Processed session termination for sessionid: <*>,['0x34f4a63146b000f'],Processed session termination for sessionid: 0x34f4a63146b000f
43,2015-08-20,"17:24:10,007",INFO,ProcessThread(sid,2 cport:-1)::PrepRequestProcessor,476,"['Processed', ' ', 'session', ' ', 'termination', ' ', 'for', ' ', 'sessionid', ':', ' ', '0x14f4a6318b80004']",61a003ea,Processed session termination for sessionid: <*>,['0x14f4a6318b80004'],Processed session termination for sessionid: 0x14f4a6318b80004
44,2015-08-20,"17:24:11,330",INFO,NIOServerCxn.Factory,0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory,197,"['Accepted', ' ', 'socket', ' ', 'connection', ' ', 'from', ' ', '/<*>']",c2d2b5cf,Accepted socket connection from /<*>,['10.10.34.40:39952'],Accepted socket connection from /10.10.34.40:39952
45,2015-08-20,"17:24:11,333",INFO,CommitProcessor,2:ZooKeeperServer,595,"['Established', ' ', 'session', ' ', '0x24f4a631df90016', ' ', 'with', ' ', 'negotiated', ' ', 'timeout', ' ', '<*>', ' ', 'for', ' ', 'client', ' ', '/<*>']",a6705c08,Established session <*> with negotiated timeout <*> for client /<*>,"['0x24f4a631df90016', '10000', '10.10.34.40:39952']",Established session 0x24f4a631df90016 with negotiated timeout 10000 for client /10.10.34.40:39952
46,2015-08-20,"17:26:17,909",WARN,NIOServerCxn.Factory,0.0.0.0/0.0.0.0:2181:NIOServerCnxn,349,"['caught', ' ', 'end', ' ', 'of', ' ', 'stream', ' ', 'exception']",ecefe136,caught end of stream exception,[],caught end of stream exception
47,2015-08-20,"17:26:25,623",INFO,NIOServerCxn.Factory,0.0.0.0/0.0.0.0:2181:NIOServerCnxn,1001,"['Closed', ' ', 'socket', ' ', 'connection', ' ', 'for', ' ', 'client', ' ', '/<*>', ' ', 'which', ' ', 'had', ' ', 'sessionid', ' ', '0x24f4a631df9000a']",faeda298,Closed socket connection for client /<*> which had sessionid <*>,"['10.10.34.11:34266', '0x24f4a631df9000a']",Closed socket connection for client /10.10.34.11:34266 which had sessionid 0x24f4a631df9000a
48,2015-08-20,"17:26:25,718",INFO,NIOServerCxn.Factory,0.0.0.0/0.0.0.0:2181:NIOServerCnxn,1001,"['Closed', ' ', 'socket', ' ', 'connection', ' ', 'for', ' ', 'client', ' ', '/<*>', ' ', 'which', ' ', 'had', ' ', 'sessionid', ' ', '0x24f4a631df9000b']",faeda298,Closed socket connection for client /<*> which had sessionid <*>,"['10.10.34.12:36890', '0x24f4a631df9000b']",Closed socket connection for client /10.10.34.12:36890 which had sessionid 0x24f4a631df9000b
49,2015-08-20,"19:32:56,125",INFO,NIOServerCxn.Factory,0.0.0.0/0.0.0.0:2181:NIOServerCnxn,1001,"['Closed', ' ', 'socket', ' ', 'connection', ' ', 'for', ' ', 'client', ' ', '/<*>', ' ', 'which', ' ', 'had', ' ', 'sessionid', ' ', '0x24f4a631df9001d']",faeda298,Closed socket connection for client /<*> which had sessionid <*>,"['10.10.34.15:59330', '0x24f4a631df9001d']",Closed socket connection for client /10.10.34.15:59330 which had sessionid 0x24f4a631df9001d
50,2015-08-20,"19:33:16,003",INFO,ProcessThread(sid,2 cport:-1)::PrepRequestProcessor,476,"['Processed', ' ', 'session', ' ', 'termination', ' ', 'for', ' ', 'sessionid', ':', ' ', '0x14f4a6318b80019']",61a003ea,Processed session termination for sessionid: <*>,['0x14f4a6318b80019'],Processed session termination for sessionid: 0x14f4a6318b80019
51,2015-08-21,"15:55:09,796",INFO,NIOServerCxn.Factory,0.0.0.0/0.0.0.0:2181:ZooKeeperServer,839,"['Client', ' ', 'attempting', ' ', 'to', ' ', 'establish', ' ', 'new', ' ', 'session', ' ', 'at', ' ', '/<*>']",16e13a06,Client attempting to establish new session at /<*>,['10.10.34.21:53818'],Client attempting to establish new session at /10.10.34.21:53818
52,2015-08-21,"15:55:10,840",WARN,NIOServerCxn.Factory,0.0.0.0/0.0.0.0:2181:ZooKeeperServer,793,"['Connection', ' ', 'request', ' ', 'from', ' ', 'old', ' ', 'client', ' ', '/<*>', ';', ' ', 'will', ' ', 'be', ' ', 'dropped', ' ', 'if', ' ', 'server', ' ', 'is', ' ', 'in', ' ', 'r-o', ' ', 'mode']",b9a04571,Connection request from old client /<*>; will be dropped if server is in r-o mode,['10.10.34.35:47894'],Connection request from old client /10.10.34.35:47894; will be dropped if server is in r-o mode
53,2015-08-24,"10:21:44,000",INFO,SessionTracker,ZooKeeperServer,325,"['Expiring', ' ', 'session', ' ', '0x34f4a63146b0048', ',', ' ', 'timeout', ' ', 'of', ' ', '10000ms', ' ', 'exceeded']",5693b05a,"Expiring session <*>, timeout of 10000ms exceeded",['0x34f4a63146b0048'],"Expiring session 0x34f4a63146b0048, timeout of 10000ms exceeded"
54,2015-08-25,"11:14:51,514",INFO,main,DatadirCleanupManager,79,"['autopurge.purgeInterval', ' ', 'set', ' ', 'to', ' ', '<*>']",bde42fae,autopurge.purgeInterval set to <*>,['0'],autopurge.purgeInterval set to 0
55,2015-08-25,"11:14:51,662",INFO,main,FileSnap,83,"['Reading', ' ', 'snapshot', ' ', '/var/lib/zookeeper/version-2/snapshot.b00000084']",a9459b27,Reading snapshot /var/lib/zookeeper/version-2/snapshot.b00000084,[],Reading snapshot /var/lib/zookeeper/version-2/snapshot.b00000084
56,2015-08-25,"11:14:53,074",INFO,LearnerHandler-/10.10.34.11,32976:LearnerHandler,395,"['Sending', ' ', 'DIFF']",9d86801d,Sending DIFF,[],Sending DIFF
57,2015-08-25,"11:15:04,735",INFO,SessionTracker,ZooKeeperServer,325,"['Expiring', ' ', 'session', ' ', '0x24f4a631df90029', ',', ' ', 'timeout', ' ', 'of', ' ', '10000ms', ' ', 'exceeded']",5693b05a,"Expiring session <*>, timeout of 10000ms exceeded",['0x24f4a631df90029'],"Expiring session 0x24f4a631df90029, timeout of 10000ms exceeded"
58,2015-08-25,"11:15:04,743",INFO,ProcessThread(sid,2 cport:-1)::PrepRequestProcessor,476,"['Processed', ' ', 'session', ' ', 'termination', ' ', 'for', ' ', 'sessionid', ':', ' ', '0x34f4a63146b003c']",61a003ea,Processed session termination for sessionid: <*>,['0x34f4a63146b003c'],Processed session termination for sessionid: 0x34f4a63146b003c
59,2015-08-25,"11:15:04,750",INFO,ProcessThread(sid,2 cport:-1)::PrepRequestProcessor,476,"['Processed', ' ', 'session', ' ', 'termination', ' ', 'for', ' ', 'sessionid', ':', ' ', '0x14f4a6318b8002f']",61a003ea,Processed session termination for sessionid: <*>,['0x14f4a6318b8002f'],Processed session termination for sessionid: 0x14f4a6318b8002f
60,2015-08-25,"11:26:27,861",INFO,QuorumPeer[myid=2]/0,0:0:0:0:0:0:0:2181:QuorumPeer,670,['LOOKING'],00078e14,LOOKING,[],LOOKING
61,2015-08-25,"11:26:28,145",INFO,QuorumPeer[myid=2]/0,0:0:0:0:0:0:0:2181:Learner,325,"['Getting', ' ', 'a', ' ', 'snapshot', ' ', 'from', ' ', 'leader']",4c5926a1,Getting a snapshot from leader,[],Getting a snapshot from leader
62,2015-07-29,"17:42:53,528",WARN,WorkerSender[myid=3],QuorumCnxManager,368,"['Cannot', ' ', 'open', ' ', 'channel', ' ', 'to', ' ', '<*>', ' ', 'at', ' ', 'election', ' ', 'address', ' ', '/<*>']",070f1a26,Cannot open channel to <*> at election address /<*>,"['2', '10.10.34.12:3888']",Cannot open channel to 2 at election address /10.10.34.12:3888
63,2015-07-29,"17:43:29,975",INFO,WorkerReceiver[myid=3],FastLeaderElection,542,"['Notification', ':', ' ', '<*>', ' ', '(n.leader)', ',', ' ', '<*>', ' ', '(n.zxid)', ',', ' ', '<*>', ' ', '(n.round)', ',', ' ', 'LOOKING', ' ', '(n.state)', ',', ' ', '<*>', ' ', '(n.sid)', ',', ' ', '<*>', ' ', '(n.peerEPoch)', ',', ' ', 'LOOKING', ' ', '(my', ' ', 'state)']",b071c188,"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), LOOKING (n.state), <*> (n.sid), <*> (n.peerEPoch), LOOKING (my state)","['3', '0x0', '0x1', '3', '0x0']","Notification: 3 (n.leader), 0x0 (n.zxid), 0x1 (n.round), LOOKING (n.state), 3 (n.sid), 0x0 (n.peerEPoch), LOOKING (my state)"
64,2015-07-29,"17:43:47,783",INFO,WorkerReceiver[myid=3],FastLeaderElection,542,"['Notification', ':', ' ', '<*>', ' ', '(n.leader)', ',', ' ', '0x0', ' ', '(n.zxid)', ',', ' ', '0x1', ' ', '(n.round)', ',', ' ', 'LOOKING', ' ', '(n.state)', ',', ' ', '<*>', ' ', '(n.sid)', ',', ' ', '0x0', ' ', '(n.peerEPoch)', ',', ' ', 'LOOKING', ' ', '(my', ' ', 'state)']",b071c188,"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), LOOKING (n.state), <*> (n.sid), <*> (n.peerEPoch), LOOKING (my state)","['3', '0x0', '0x1', '3', '0x0']","Notification: 3 (n.leader), 0x0 (n.zxid), 0x1 (n.round), LOOKING (n.state), 3 (n.sid), 0x0 (n.peerEPoch), LOOKING (my state)"
65,2015-07-29,"19:21:29,146",WARN,SendWorker,188978561024:QuorumCnxManager$SendWorker,679,"['Interrupted', ' ', 'while', ' ', 'waiting', ' ', 'for', ' ', 'message', ' ', 'on', ' ', 'queue']",45a3ec5d,Interrupted while waiting for message on queue,[],Interrupted while waiting for message on queue
