LineId,Label,Timestamp,Date,Node,Time,NodeRepeat,Type,Component,Level,Content,EventId,EventTemplate,ParameterList,Message
11,-,1127147540,2005.09.19,R77-M0-NC-I:J18-U11,2005-09-19-09.32.20.314194,R77-M0-NC-I:J18-U11,RAS,APP,FATAL,"['ciod', ':', ' ', 'LOGIN', ' ', 'chdir(/home/spelce1/UMT2K/umt2k/ckpt_umt2k_src/TEST/NEW_TEST)', ' ', 'failed', ':', ' ', 'No', ' ', 'such', ' ', 'file', ' ', 'or', ' ', 'directory']",4983ff07,ciod: LOGIN <*> failed: No such file or directory,['chdir(/home/spelce1/UMT2K/umt2k/ckpt_umt2k_src/TEST/NEW_TEST)'],ciod: LOGIN chdir(/home/spelce1/UMT2K/umt2k/ckpt_umt2k_src/TEST/NEW_TEST) failed: No such file or directory
12,-,1127154489,2005.09.19,R47-M0-N4-C:J07-U01,2005-09-19-11.28.09.693945,R47-M0-N4-C:J07-U01,RAS,KERNEL,INFO,"['CE', ' ', 'sym', ' ', '<*>', ',', ' ', 'at', ' ', '0x0a2ae600', ',', ' ', 'mask', ' ', '0x10']",65f23e3e,"CE sym <*>, at <*>, mask <*>","['8', '0x0a2ae600', '0x10']","CE sym 8, at 0x0a2ae600, mask 0x10"
13,-,1127163833,2005.09.19,R32-M1-N0-I:J18-U01,2005-09-19-14.03.53.806037,R32-M1-N0-I:J18-U01,RAS,APP,FATAL,"['ciod', ':', ' ', 'LOGIN', ' ', 'chdir(/home/yates/SWL_tests/BGL64k_SWL_tests_develop/MPI-VAL/MPITs_v050902/rundir)', ' ', 'failed', ':', ' ', 'No', ' ', 'such', ' ', 'file', ' ', 'or', ' ', 'directory']",4983ff07,ciod: LOGIN <*> failed: No such file or directory,['chdir(/home/yates/SWL_tests/BGL64k_SWL_tests_develop/MPI-VAL/MPITs_v050902/rundir)'],ciod: LOGIN chdir(/home/yates/SWL_tests/BGL64k_SWL_tests_develop/MPI-VAL/MPITs_v050902/rundir) failed: No such file or directory
14,-,1127242650,2005.09.20,R05-M0-NA,2005-09-20-11.57.30.636832,R05-M0-NA,NULL,DISCOVERY,INFO,"['Node', ' ', 'card', ' ', 'VPD', ' ', 'check', ':', ' ', '<*>', ' ', 'node', ' ', 'in', ' ', 'processor', ' ', 'card', ' ', 'slot', ' ', '<*>', ' ', 'do', ' ', 'not', ' ', 'match.', ' ', 'VPD', ' ', 'ecid', ' ', '<*>', ',', ' ', 'found', ' ', '<*>']",3fd17e58,"Node card VPD check: <*> node in processor card slot <*> do not match. VPD ecid <*>, found <*>","['U01', 'J15', '04DE7DB80D7BFFFF04051B70D8D9', '04DE7DF2D37BFFFF09081B6088D9']","Node card VPD check: U01 node in processor card slot J15 do not match. VPD ecid 04DE7DB80D7BFFFF04051B70D8D9, found 04DE7DF2D37BFFFF09081B6088D9"
15,-,1127243163,2005.09.20,NULL,2005-09-20-12.06.03.683009,NULL,RAS,MMCS,ERROR,"['idoproxydb', ' ', 'hit', ' ', 'ASSERT', ' ', 'condition', ':', ' ', 'ASSERT', ' ', 'expression', '=', '<*>', ' ', 'Source', ' ', 'file', '=', 'idotransportmgr.cpp', ' ', 'Source', ' ', 'line', '=', '<*>', ' ', 'Function', '=', 'int', ' ', 'IdoTransportMgr', ':', ':', 'SendPacket(IdoUdpMgr*', ',', ' ', 'BglCtlPavTrace*)']",3c469b21,"idoproxydb hit ASSERT condition: ASSERT expression=<*> Source file=idotransportmgr.cpp Source line=<*> Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)","['0', '1043']","idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)"
16,-,1127243213,2005.09.20,NULL,2005-09-20-12.06.53.608772,NULL,RAS,MMCS,ERROR,"['idoproxydb', ' ', 'hit', ' ', 'ASSERT', ' ', 'condition', ':', ' ', 'ASSERT', ' ', 'expression', '=', '<*>', ' ', 'Source', ' ', 'file', '=', 'idotransportmgr.cpp', ' ', 'Source', ' ', 'line', '=', '<*>', ' ', 'Function', '=', 'int', ' ', 'IdoTransportMgr', ':', ':', 'SendPacket(IdoUdpMgr*', ',', ' ', 'BglCtlPavTrace*)']",3c469b21,"idoproxydb hit ASSERT condition: ASSERT expression=<*> Source file=idotransportmgr.cpp Source line=<*> Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)","['0', '1043']","idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)"
17,-,1127243214,2005.09.20,NULL,2005-09-20-12.06.54.769367,NULL,RAS,MMCS,ERROR,"['idoproxydb', ' ', 'hit', ' ', 'ASSERT', ' ', 'condition', ':', ' ', 'ASSERT', ' ', 'expression', '=', '<*>', ' ', 'Source', ' ', 'file', '=', 'idotransportmgr.cpp', ' ', 'Source', ' ', 'line', '=', '<*>', ' ', 'Function', '=', 'int', ' ', 'IdoTransportMgr', ':', ':', 'SendPacket(IdoUdpMgr*', ',', ' ', 'BglCtlPavTrace*)']",3c469b21,"idoproxydb hit ASSERT condition: ASSERT expression=<*> Source file=idotransportmgr.cpp Source line=<*> Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)","['0', '1043']","idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)"
18,-,1127243216,2005.09.20,NULL,2005-09-20-12.06.56.253999,NULL,RAS,MMCS,ERROR,"['idoproxydb', ' ', 'hit', ' ', 'ASSERT', ' ', 'condition', ':', ' ', 'ASSERT', ' ', 'expression', '=', '<*>', ' ', 'Source', ' ', 'file', '=', 'idotransportmgr.cpp', ' ', 'Source', ' ', 'line', '=', '<*>', ' ', 'Function', '=', 'int', ' ', 'IdoTransportMgr', ':', ':', 'SendPacket(IdoUdpMgr*', ',', ' ', 'BglCtlPavTrace*)']",3c469b21,"idoproxydb hit ASSERT condition: ASSERT expression=<*> Source file=idotransportmgr.cpp Source line=<*> Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)","['0', '1043']","idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)"
19,-,1127243219,2005.09.20,NULL,2005-09-20-12.06.59.554854,NULL,RAS,MMCS,ERROR,"['idoproxydb', ' ', 'hit', ' ', 'ASSERT', ' ', 'condition', ':', ' ', 'ASSERT', ' ', 'expression', '=', '<*>', ' ', 'Source', ' ', 'file', '=', 'idotransportmgr.cpp', ' ', 'Source', ' ', 'line', '=', '<*>', ' ', 'Function', '=', 'int', ' ', 'IdoTransportMgr', ':', ':', 'SendPacket(IdoUdpMgr*', ',', ' ', 'BglCtlPavTrace*)']",3c469b21,"idoproxydb hit ASSERT condition: ASSERT expression=<*> Source file=idotransportmgr.cpp Source line=<*> Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)","['0', '1043']","idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)"
20,-,1127243219,2005.09.20,NULL,2005-09-20-12.06.59.601269,NULL,RAS,MMCS,ERROR,"['idoproxydb', ' ', 'hit', ' ', 'ASSERT', ' ', 'condition', ':', ' ', 'ASSERT', ' ', 'expression', '=', '<*>', ' ', 'Source', ' ', 'file', '=', 'idotransportmgr.cpp', ' ', 'Source', ' ', 'line', '=', '<*>', ' ', 'Function', '=', 'int', ' ', 'IdoTransportMgr', ':', ':', 'SendPacket(IdoUdpMgr*', ',', ' ', 'BglCtlPavTrace*)']",3c469b21,"idoproxydb hit ASSERT condition: ASSERT expression=<*> Source file=idotransportmgr.cpp Source line=<*> Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)","['0', '1043']","idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)"
21,-,1127243221,2005.09.20,NULL,2005-09-20-12.07.01.621806,NULL,RAS,MMCS,ERROR,"['idoproxydb', ' ', 'hit', ' ', 'ASSERT', ' ', 'condition', ':', ' ', 'ASSERT', ' ', 'expression', '=', '<*>', ' ', 'Source', ' ', 'file', '=', 'idotransportmgr.cpp', ' ', 'Source', ' ', 'line', '=', '<*>', ' ', 'Function', '=', 'int', ' ', 'IdoTransportMgr', ':', ':', 'SendPacket(IdoUdpMgr*', ',', ' ', 'BglCtlPavTrace*)']",3c469b21,"idoproxydb hit ASSERT condition: ASSERT expression=<*> Source file=idotransportmgr.cpp Source line=<*> Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)","['0', '1043']","idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)"
22,-,1127243228,2005.09.20,NULL,2005-09-20-12.07.08.329482,NULL,RAS,MMCS,ERROR,"['idoproxydb', ' ', 'hit', ' ', 'ASSERT', ' ', 'condition', ':', ' ', 'ASSERT', ' ', 'expression', '=', '<*>', ' ', 'Source', ' ', 'file', '=', 'idotransportmgr.cpp', ' ', 'Source', ' ', 'line', '=', '<*>', ' ', 'Function', '=', 'int', ' ', 'IdoTransportMgr', ':', ':', 'SendPacket(IdoUdpMgr*', ',', ' ', 'BglCtlPavTrace*)']",3c469b21,"idoproxydb hit ASSERT condition: ASSERT expression=<*> Source file=idotransportmgr.cpp Source line=<*> Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)","['0', '1043']","idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)"
23,-,1127243349,2005.09.20,NULL,2005-09-20-12.09.09.807842,NULL,RAS,MMCS,ERROR,"['idoproxydb', ' ', 'hit', ' ', 'ASSERT', ' ', 'condition', ':', ' ', 'ASSERT', ' ', 'expression', '=', '<*>', ' ', 'Source', ' ', 'file', '=', 'idotransportmgr.cpp', ' ', 'Source', ' ', 'line', '=', '<*>', ' ', 'Function', '=', 'int', ' ', 'IdoTransportMgr', ':', ':', 'SendPacket(IdoUdpMgr*', ',', ' ', 'BglCtlPavTrace*)']",3c469b21,"idoproxydb hit ASSERT condition: ASSERT expression=<*> Source file=idotransportmgr.cpp Source line=<*> Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)","['0', '1043']","idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)"
24,-,1127243352,2005.09.20,NULL,2005-09-20-12.09.12.363370,NULL,RAS,MMCS,ERROR,"['idoproxydb', ' ', 'hit', ' ', 'ASSERT', ' ', 'condition', ':', ' ', 'ASSERT', ' ', 'expression', '=', '<*>', ' ', 'Source', ' ', 'file', '=', 'idotransportmgr.cpp', ' ', 'Source', ' ', 'line', '=', '<*>', ' ', 'Function', '=', 'int', ' ', 'IdoTransportMgr', ':', ':', 'SendPacket(IdoUdpMgr*', ',', ' ', 'BglCtlPavTrace*)']",3c469b21,"idoproxydb hit ASSERT condition: ASSERT expression=<*> Source file=idotransportmgr.cpp Source line=<*> Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)","['0', '1043']","idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)"
25,-,1127243360,2005.09.20,NULL,2005-09-20-12.09.20.750312,NULL,RAS,MMCS,ERROR,"['idoproxydb', ' ', 'hit', ' ', 'ASSERT', ' ', 'condition', ':', ' ', 'ASSERT', ' ', 'expression', '=', '<*>', ' ', 'Source', ' ', 'file', '=', 'idotransportmgr.cpp', ' ', 'Source', ' ', 'line', '=', '<*>', ' ', 'Function', '=', 'int', ' ', 'IdoTransportMgr', ':', ':', 'SendPacket(IdoUdpMgr*', ',', ' ', 'BglCtlPavTrace*)']",3c469b21,"idoproxydb hit ASSERT condition: ASSERT expression=<*> Source file=idotransportmgr.cpp Source line=<*> Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)","['0', '1043']","idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)"
26,-,1127243361,2005.09.20,NULL,2005-09-20-12.09.21.408989,NULL,RAS,MMCS,ERROR,"['idoproxydb', ' ', 'hit', ' ', 'ASSERT', ' ', 'condition', ':', ' ', 'ASSERT', ' ', 'expression', '=', '<*>', ' ', 'Source', ' ', 'file', '=', 'idotransportmgr.cpp', ' ', 'Source', ' ', 'line', '=', '<*>', ' ', 'Function', '=', 'int', ' ', 'IdoTransportMgr', ':', ':', 'SendPacket(IdoUdpMgr*', ',', ' ', 'BglCtlPavTrace*)']",3c469b21,"idoproxydb hit ASSERT condition: ASSERT expression=<*> Source file=idotransportmgr.cpp Source line=<*> Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)","['0', '1043']","idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)"
27,-,1127243367,2005.09.20,NULL,2005-09-20-12.09.27.065172,NULL,RAS,MMCS,ERROR,"['idoproxydb', ' ', 'hit', ' ', 'ASSERT', ' ', 'condition', ':', ' ', 'ASSERT', ' ', 'expression', '=', '<*>', ' ', 'Source', ' ', 'file', '=', 'idotransportmgr.cpp', ' ', 'Source', ' ', 'line', '=', '<*>', ' ', 'Function', '=', 'int', ' ', 'IdoTransportMgr', ':', ':', 'SendPacket(IdoUdpMgr*', ',', ' ', 'BglCtlPavTrace*)']",3c469b21,"idoproxydb hit ASSERT condition: ASSERT expression=<*> Source file=idotransportmgr.cpp Source line=<*> Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)","['0', '1043']","idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)"
28,-,1127243377,2005.09.20,NULL,2005-09-20-12.09.37.578989,NULL,RAS,MMCS,ERROR,"['idoproxydb', ' ', 'hit', ' ', 'ASSERT', ' ', 'condition', ':', ' ', 'ASSERT', ' ', 'expression', '=', '<*>', ' ', 'Source', ' ', 'file', '=', 'idotransportmgr.cpp', ' ', 'Source', ' ', 'line', '=', '<*>', ' ', 'Function', '=', 'int', ' ', 'IdoTransportMgr', ':', ':', 'SendPacket(IdoUdpMgr*', ',', ' ', 'BglCtlPavTrace*)']",3c469b21,"idoproxydb hit ASSERT condition: ASSERT expression=<*> Source file=idotransportmgr.cpp Source line=<*> Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)","['0', '1043']","idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)"
29,-,1127243379,2005.09.20,NULL,2005-09-20-12.09.39.030884,NULL,RAS,MMCS,ERROR,"['idoproxydb', ' ', 'hit', ' ', 'ASSERT', ' ', 'condition', ':', ' ', 'ASSERT', ' ', 'expression', '=', '<*>', ' ', 'Source', ' ', 'file', '=', 'idotransportmgr.cpp', ' ', 'Source', ' ', 'line', '=', '<*>', ' ', 'Function', '=', 'int', ' ', 'IdoTransportMgr', ':', ':', 'SendPacket(IdoUdpMgr*', ',', ' ', 'BglCtlPavTrace*)']",3c469b21,"idoproxydb hit ASSERT condition: ASSERT expression=<*> Source file=idotransportmgr.cpp Source line=<*> Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)","['0', '1043']","idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)"
30,-,1127243411,2005.09.20,NULL,2005-09-20-12.10.11.325034,NULL,RAS,MMCS,ERROR,"['idoproxydb', ' ', 'hit', ' ', 'ASSERT', ' ', 'condition', ':', ' ', 'ASSERT', ' ', 'expression', '=', '<*>', ' ', 'Source', ' ', 'file', '=', 'idotransportmgr.cpp', ' ', 'Source', ' ', 'line', '=', '<*>', ' ', 'Function', '=', 'int', ' ', 'IdoTransportMgr', ':', ':', 'SendPacket(IdoUdpMgr*', ',', ' ', 'BglCtlPavTrace*)']",3c469b21,"idoproxydb hit ASSERT condition: ASSERT expression=<*> Source file=idotransportmgr.cpp Source line=<*> Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)","['0', '1043']","idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)"
31,-,1127243412,2005.09.20,NULL,2005-09-20-12.10.12.752571,NULL,RAS,MMCS,ERROR,"['idoproxydb', ' ', 'hit', ' ', 'ASSERT', ' ', 'condition', ':', ' ', 'ASSERT', ' ', 'expression', '=', '<*>', ' ', 'Source', ' ', 'file', '=', 'idotransportmgr.cpp', ' ', 'Source', ' ', 'line', '=', '<*>', ' ', 'Function', '=', 'int', ' ', 'IdoTransportMgr', ':', ':', 'SendPacket(IdoUdpMgr*', ',', ' ', 'BglCtlPavTrace*)']",3c469b21,"idoproxydb hit ASSERT condition: ASSERT expression=<*> Source file=idotransportmgr.cpp Source line=<*> Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)","['0', '1043']","idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)"
32,-,1127243509,2005.09.20,NULL,2005-09-20-12.11.49.638167,NULL,RAS,MMCS,ERROR,"['idoproxydb', ' ', 'hit', ' ', 'ASSERT', ' ', 'condition', ':', ' ', 'ASSERT', ' ', 'expression', '=', '<*>', ' ', 'Source', ' ', 'file', '=', 'idotransportmgr.cpp', ' ', 'Source', ' ', 'line', '=', '<*>', ' ', 'Function', '=', 'int', ' ', 'IdoTransportMgr', ':', ':', 'SendPacket(IdoUdpMgr*', ',', ' ', 'BglCtlPavTrace*)']",3c469b21,"idoproxydb hit ASSERT condition: ASSERT expression=<*> Source file=idotransportmgr.cpp Source line=<*> Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)","['0', '1043']","idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)"
